catalystWeigth,temperature,p,Ta,F_Ph,F_H2O,F_CO,F_H2,F_CO2
0,1023.1239489682548,0.999999755428832,288.1500025202496,17.32284133979146,184.48920664793476,0.6879519102287297,0.9172693326908523,5.102251982048087e-08
0.001,1023.0985529455726,0.9999995098785966,288.15000504041063,17.211795348617944,183.93397648935482,1.3542276545574763,1.8056374647913336,2.537348709308967e-07
0.002,1023.0737749708787,0.9999992633799171,288.1500075604853,17.104141591188878,183.39570735162505,2.000149848547431,2.666867874808305,6.043193131391148e-07
0.003,1023.0495812417454,0.9999990159615644,288.1500100804756,16.999679334360174,182.8733955726315,2.6269228946696224,3.502566424287987,1.099169353119643e-06
0.004,1023.0259407581709,0.9999987676506219,288.15001260038366,16.898225256504436,182.36612454765017,3.2356467261014235,4.314199682836515,1.734871978858152e-06
0.005,1023.002825015708,0.9999985184726302,288.1500151202112,16.799611481463778,181.873054899127,3.8273286030254874,5.10311065648168,2.5081918702538608e-06
0.006,1022.9802077399046,0.9999982684517159,288.15001763996,16.70368388327835,181.3934160003344,4.4028932842726025,5.870532349830539,3.416057315431461e-06
0.007,1022.9580646555128,0.9999980176107065,288.1500201596319,16.61030061803021,180.9264986346034,4.963191836271163,6.617599511305962,4.455547605876721e-06
0.008,1022.9363732851075,0.9999977659712335,288.1500226792283,16.51933084715587,180.4716486118976,5.509009293183088,7.345358846634793,5.62388171905683e-06
0.009000000000000001,1022.9151127726985,0.9999975135538237,288.1500251987508,16.430653622954125,180.02826119636245,6.041071343867155,8.054777934775165,6.9184081263669835e-06
0.010000000000000002,1022.8942637286792,0.9999972603779831,288.15002771820093,16.34415691211705,179.59577622398962,6.5600501907021345,8.746753039659216,8.336595588334468e-06
0.011000000000000003,1022.8738080930667,0.9999970064622706,288.15003023758,16.259736737220745,179.17367381007887,7.06656970065073,9.422115978258882,9.87602481900483e-06
0.012000000000000004,1022.8537290144869,0.9999967518243663,288.1500327568893,16.17729641944053,178.7614705628217,7.5612099489759155,10.081640178856693,1.1534380918112043e-05
0.013000000000000005,1022.8340107427633,0.9999964964811325,288.15003527613015,16.096745908466307,178.35871623288503,8.044511239755689,10.726046041716044,1.3309446483612302e-05
0.014000000000000005,1022.8146385333017,0.9999962404486693,288.1500377953038,16.018001187813436,177.96499073997182,8.516977674024075,11.356005696587864,1.5199095328929488e-05
0.015000000000000006,1022.7955985617402,0.9999959837423655,288.15004031441134,15.940983745551003,177.57990152646826,8.979080325407255,11.972147236878728,1.720128673921103e-05
0.016000000000000007,1022.7768778475607,0.9999957263769449,288.150042833454,15.865620101979388,177.20308119583672,9.431260074063474,12.575058498225117,1.9314060209341363e-05
0.017000000000000008,1022.7584641855473,0.9999954683665084,288.1500453524328,15.791841387043048,176.8341853996846,9.873930142211114,13.165290439186247,2.153553061366093e-05
0.01800000000000001,1022.7403460841381,0.9999952097245735,288.1500478713488,15.719582961310387,176.47289094266813,10.307478368253934,13.74336017340069,2.386388376349899e-05
0.01900000000000001,1022.7225127098499,0.9999949504641088,288.15005039020303,15.648784075228429,176.11889407876978,10.732269251257131,14.309753695544904,2.6297372313917136e-05
0.02000000000000001,1022.7049538370649,0.9999946905975681,288.1500529089964,15.579387562096393,175.77190897616993,11.14864579310968,14.864928337540869,2.883431198561659e-05
0.02100000000000001,1022.6876598025676,0.9999944301369196,288.1500554277298,15.511339560823671,175.43166633104022,11.556931161979925,15.409314986488733,3.147307807189938e-05
0.022000000000000013,1022.6706214642991,0.9999941690936743,288.1500579464042,15.444589265063987,175.09791211321766,11.957430197513897,15.943320091590337,3.421210220398717e-05
0.023000000000000013,1022.6538301638634,0.9999939074789119,288.1500604650205,15.379088695764706,174.7704064289541,12.350430775542442,16.46732748375174,3.7049869350969214e-05
0.024000000000000014,1022.6372776923819,0.9999936453033043,288.15006298357946,15.314792494551579,174.44892248784276,12.73620504777552,16.981700028502434,3.998491503323865e-05
0.025000000000000015,1022.6209562593405,0.9999933825771378,288.15006550208193,15.251657735695344,174.1332456626539,13.115010570005232,17.48678113026001,4.30158227305394e-05
0.026000000000000016,1022.6048584641179,0.999993119310334,288.1500680205287,15.189643754686351,173.8231726322102,13.487091330660455,17.982896103730692,4.614122146772911e-05
0.027000000000000017,1022.5889772699212,0.9999928555124686,288.1500705389205,15.128711991684147,173.51851059863708,13.852678690111585,18.47035342631042,4.935978356310716e-05
0.028000000000000018,1022.5733059798864,0.9999925911927894,288.15007305725806,15.068825848316639,173.21907657136057,14.211992239877679,18.94944588368946,5.267022252569252e-05
0.02900000000000002,1022.5578382151308,0.9999923263602327,288.1500755755421,15.009950556483153,172.9246967111246,14.565240589810026,19.420451619425904,5.607129108919254e-05
0.03000000000000002,1022.5425678945669,0.9999920610234392,288.1500780937733,14.952053057971614,172.63520572807863,14.912622090390975,19.883635098006497,5.956177937160391e-05
0.03100000000000002,1022.5274892163109,0.9999917951907678,288.1500806119524,14.895101893835566,172.35044632866462,15.254325496473484,20.33924798982866,6.314051315045217e-05
0.03200000000000002,1022.5125966405341,0.9999915288703098,288.15008313007996,14.839067102594981,172.07026870662258,15.590530578077901,20.787529985592435,6.680635224462195e-05
0.03300000000000002,1022.4978848736258,0.9999912620699014,288.1500856481567,14.78392012642801,171.79453007395097,15.921408683242984,21.22870954676496,7.055818899457343e-05
0.03400000000000002,1022.4833488535473,0.9999909947971355,288.15008816618314,14.729633724611261,171.5230942281094,16.24712325738564,21.66300459805679,7.439494683349244e-05
0.035000000000000024,1022.4689837362704,0.9999907270593728,288.1500906841599,14.67618189354556,171.25583115214877,16.56783032314773,22.090623167214503,7.831557894259409e-05
0.036000000000000025,1022.4547848832051,0.9999904588637524,288.15009320208765,14.623539792773926,170.99261664480255,16.883678924289498,22.511763976875624,8.231906698440246e-05
0.037000000000000026,1022.4407478495301,0.9999901902172019,288.1500957199668,14.571683676460017,170.73333197788008,17.19481153682003,22.92661699273982,8.640441990836885e-05
0.03800000000000003,1022.4268683733499,0.9999899211264464,288.1500982377981,14.520590829849652,170.47786357857535,17.501364450229303,23.335363931875655,9.057067282367757e-05
0.03900000000000003,1022.4131423656067,0.9999896515980171,288.1501007555819,14.470239510286035,170.22610273454416,17.803468121397902,23.73817873459771,9.481688593452501e-05
0.04000000000000003,1022.3995659006872,0.9999893816382602,288.1501032733188,14.42060889239194,169.9779453198161,18.101247503504876,24.13522800300807,9.914214353355271e-05
0.04100000000000003,1022.3861352076646,0.999989111253344,288.1501057910093,14.371679017069967,169.7332915397967,18.394822352027195,24.526671408993362,0.000103545553049471
0.04200000000000003,1022.3728466621263,0.9999888404492665,288.15010830865396,14.323430744005604,169.4920456937838,18.684307509722277,24.912662074199364,0.00010802624414523221
0.04300000000000003,1022.3596967785405,0.9999885692318625,288.1501108262532,14.275845707387843,169.2541159535713,18.969813172305123,25.293346924265165,0.00011258336786340448
